Airport_Code,Year,TotalClaims,Claim_Type,Total_Enplanement,PctClaims
CKB,2015,1,Passenger Property Loss,24087,0.0042%
CKB,2015,1,Property Damage,24087,0.0042%
CKB,2017,1,Passenger Property Loss,25105,0.0040%
CKB,2017,1,Property Damage,25105,0.0040%
CLE,2013,14,Passenger Property Loss,4375448,0.0003%
CLE,2013,8,Property Damage,4375448,0.0002%
CLE,2014,31,Passenger Property Loss,3686315,0.0008%
CLE,2014,24,Property Damage,3686315,0.0007%
CLE,2014,1,Personal Injury,3686315,0.0000%
CLE,2015,31,Passenger Property Loss,3916922,0.0008%
CLE,2015,24,Property Damage,3916922,0.0006%
CLE,2016,40,Passenger Property Loss,4083476,0.0010%
CLE,2016,18,Property Damage,4083476,0.0004%
CLE,2016,2,Property Loss,4083476,0.0000%
CLE,2016,2,Personal Injury,4083476,0.0000%
CLE,2017,42,Passenger Property Loss,4446555,0.0009%
CLE,2017,32,Property Damage,4446555,0.0007%
CLL,2013,2,Passenger Property Loss,87409,0.0023%
