Airport_Code,Airport_Name,City,State,Year,totalclaims
CHA,Chattanooga Metropolitan,Chattanooga,TN,2015,4
CHA,Chattanooga Metropolitan,Chattanooga,TN,2016,4
CHA,Chattanooga Metropolitan,Chattanooga,TN,2017,1
CHO,Charlottesville / Albemarle,Charlottesville,VA,2013,10
CHO,Charlottesville / Albemarle,Charlottesville,VA,2016,2
CHO,Charlottesville / Albemarle,Charlottesville,VA,2017,2
CHS,Charleston International,Charleston,SC,2013,21
CHS,Charleston International,Charleston,SC,2014,17
CHS,Charleston International,Charleston,SC,2015,29
CHS,Charleston International,Charleston,SC,2016,23
CHS,Charleston International,Charleston,SC,2017,23
CIC,Chico Municipal,Chico,CA,2013,1
CID,Eastern Iowa,Cedar Rapids,IA,2013,9
CID,Eastern Iowa,Cedar Rapids,IA,2014,6
CID,Eastern Iowa,Cedar Rapids,IA,2015,3
CID,Eastern Iowa,Cedar Rapids,IA,2016,5
CID,Eastern Iowa,Cedar Rapids,IA,2017,1
CIU,Chippewa County International,Sault Ste Marie,MI,2016,2
CIU,Chippewa County International,Sault Ste Marie,MI,2017,1
CKB,Harrison Marion Regional,Clarksburg,WV,2013,1
CKB,Harrison Marion Regional,Clarksburg,WV,2015,3
CKB,Harrison Marion Regional,Clarksburg,WV,2017,2
CLE,Cleveland Hopkins International,Cleveland,OH,2013,22
CLE,Cleveland Hopkins International,Cleveland,OH,2014,56
CLE,Cleveland Hopkins International,Cleveland,OH,2015,55
CLE,Cleveland Hopkins International,Cleveland,OH,2016,62
CLE,Cleveland Hopkins International,Cleveland,OH,2017,74
CLL,"Easterwood/College Station, TX",College Station,TX,2013,3
CLL,"Easterwood/College Station, TX",College Station,TX,2014,4
CLL,"Easterwood/College Station, TX",College Station,TX,2015,1
CLL,"Easterwood/College Station, TX",College Station,TX,2016,2
CLT,Charlotte/Douglas International Airport,Charlotte,NC,2013,132
CLT,Charlotte/Douglas International Airport,Charlotte,NC,2014,109
CLT,Charlotte/Douglas International Airport,Charlotte,NC,2015,97
CLT,Charlotte/Douglas International Airport,Charlotte,NC,2016,140
CLT,Charlotte/Douglas International Airport,Charlotte,NC,2017,103
CMH,John Glenn Columbus International,Columbus,OH,2013,30
CMH,John Glenn Columbus International,Columbus,OH,2014,34
CMH,John Glenn Columbus International,Columbus,OH,2015,36
CMH,John Glenn Columbus International,Columbus,OH,2016,30
CMH,John Glenn Columbus International,Columbus,OH,2017,30
CMI,University of Illinois-Willard,Champaign/Urbana,IL,2014,1
CMI,University of Illinois-Willard,Champaign/Urbana,IL,2015,2
CMI,University of Illinois-Willard,Champaign/Urbana,IL,2016,1
CMX,Houghton County Memorial,Hancock,MI,2014,1
CMX,Houghton County Memorial,Hancock,MI,2016,1
CMX,Houghton County Memorial,Hancock,MI,2017,1
COD,Yellowstone Regional,Cody,WY,2013,1
COD,Yellowstone Regional,Cody,WY,2014,1
COD,Yellowstone Regional,Cody,WY,2015,1
COD,Yellowstone Regional,Cody,WY,2016,1
COS,Colorado Springs Municipal,Colorado Springs,CO,2013,18
COS,Colorado Springs Municipal,Colorado Springs,CO,2014,6
COS,Colorado Springs Municipal,Colorado Springs,CO,2015,6
COS,Colorado Springs Municipal,Colorado Springs,CO,2016,9
COS,Colorado Springs Municipal,Colorado Springs,CO,2017,6
COU,"Columbia, MO",Columbia,MO,2014,2
COU,"Columbia, MO",Columbia,MO,2016,1
COU,"Columbia, MO",Columbia,MO,2017,2
CPR,Natrona International,Casper,WY,2013,1
CPR,Natrona International,Casper,WY,2014,2
CPR,Natrona International,Casper,WY,2016,2
CPR,Natrona International,Casper,WY,2017,1
CRP,Corpus Christi International,Corpus Christi,TX,2013,6
CRP,Corpus Christi International,Corpus Christi,TX,2014,6
CRP,Corpus Christi International,Corpus Christi,TX,2015,5
CRP,Corpus Christi International,Corpus Christi,TX,2016,3
CRP,Corpus Christi International,Corpus Christi,TX,2017,2
CRW,"Yeager, Charleston",Charleston,WV,2013,1
CRW,"Yeager, Charleston",Charleston,WV,2014,2
CRW,"Yeager, Charleston",Charleston,WV,2015,1
CSG,Columbus Metroplitan,Columbus,GA,2013,1
CSG,Columbus Metroplitan,Columbus,GA,2014,1
CSG,Columbus Metroplitan,Columbus,GA,2015,1
CSG,Columbus Metroplitan,Columbus,GA,2016,1
CSG,Columbus Metroplitan,Columbus,GA,2017,5
CVG,Cincinnati/Northern Kentucky International,Covington,KY,2013,33
CVG,Cincinnati/Northern Kentucky International,Covington,KY,2014,24
CVG,Cincinnati/Northern Kentucky International,Covington,KY,2015,28
CVG,Cincinnati/Northern Kentucky International,Covington,KY,2016,21
CVG,Cincinnati/Northern Kentucky International,Covington,KY,2017,15
CWA,Central Wisconsin Regional,Mosinee,WI,2013,2
CWA,Central Wisconsin Regional,Mosinee,WI,2014,2
CWA,Central Wisconsin Regional,Mosinee,WI,2015,1
CWA,Central Wisconsin Regional,Mosinee,WI,2016,1
CYS,Cheyenne Regional Airport - Jerry Olson Field,Cheyenne,WY,2014,1
