Airport_Code,Airport_Name,City,State,Year,Claim_Type,Total_Close_Amount
BNA,Nashville International,Nashville,TN,2016,Property Loss,$0.00
BNA,Nashville International,Nashville,TN,2017,Passenger Property Loss,$164.41
BNA,Nashville International,Nashville,TN,2017,Property Damage,"$1,576.83"
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2013,Passenger Property Loss,$150.62
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2013,Property Damage,$490.95
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2014,Passenger Property Loss,$0.00
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2014,Property Damage,$477.50
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2015,Passenger Property Loss,$264.21
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2015,Personal Injury,
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2015,Property Damage,$367.59
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2016,Passenger Property Loss,$506.26
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2016,Personal Injury,
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2016,Property Damage,$114.86
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2017,Passenger Property Loss,$362.44
BOI,Boise Air Terminal/Gowen Field,Boise,ID,2017,Property Damage,
BOS,Boston (Logan) International Airport,Boston,MA,2013,Passenger Property Loss,"$4,990.51"
BOS,Boston (Logan) International Airport,Boston,MA,2013,Personal Injury,$0.00
BOS,Boston (Logan) International Airport,Boston,MA,2013,Property Damage,"$13,447.86"
BOS,Boston (Logan) International Airport,Boston,MA,2013,Unknown,
BOS,Boston (Logan) International Airport,Boston,MA,2014,Passenger Property Loss,"$3,554.60"
BOS,Boston (Logan) International Airport,Boston,MA,2014,Personal Injury,
BOS,Boston (Logan) International Airport,Boston,MA,2014,Property Damage,"$9,577.67"
BOS,Boston (Logan) International Airport,Boston,MA,2014,Unknown,
BOS,Boston (Logan) International Airport,Boston,MA,2015,Passenger Property Loss,"$4,516.72"
BOS,Boston (Logan) International Airport,Boston,MA,2015,Personal Injury,
BOS,Boston (Logan) International Airport,Boston,MA,2015,Property Damage,"$15,716.15"
BOS,Boston (Logan) International Airport,Boston,MA,2016,Missed Flight,
BOS,Boston (Logan) International Airport,Boston,MA,2016,Passenger Property Loss,$752.18
BOS,Boston (Logan) International Airport,Boston,MA,2016,Personal Injury,
BOS,Boston (Logan) International Airport,Boston,MA,2016,Property Damage,"$2,790.00"
BOS,Boston (Logan) International Airport,Boston,MA,2016,Property Loss,
BOS,Boston (Logan) International Airport,Boston,MA,2017,Passenger Property Loss,$235.00
BOS,Boston (Logan) International Airport,Boston,MA,2017,Personal Injury,
BOS,Boston (Logan) International Airport,Boston,MA,2017,Property Damage,"$4,086.86"
BOS,Boston (Logan) International Airport,Boston,MA,2017,Unknown,
BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,2013,Passenger Property Loss,$0.00
